Station,2019_mean
ASN00009603,16.909166666666668
ASN00009617,15.746666666666666
ASN00009746,16.061666666666667
ASN00009789,17.454166666666666
ASN00009961,16.93
ASN00009964,15.548333333333334
ASN00009968,15.169166666666667
ASN00010092,19.599166666666665
ASN00010286,18.791666666666668
ASN00010524,17.69
ASN00010568,18.460833333333333
ASN00010905,16.259166666666665
ASN00010911,17.4775
ASN00010916,16.358333333333334
ASN00010917,16.5
ASN00011003,18.629166666666666
ASN00011019,17.81
ASN00011052,19.625
ASN00012071,17.19
ASN00012241,22.741666666666667
ASN00012305,22.664166666666667
ASN00013011,24.741666666666667
ASN00013017,24.6375
ASN00013030,28.670833333333334
ASN00014015,28.071666666666665
ASN00014040,27.578333333333333
ASN00014041,27.454166666666666
ASN00014142,27.5625
ASN00014198,28.915
ASN00014272,27.640833333333333
ASN00014274,27.6325
ASN00014508,26.929166666666667
ASN00014626,27.405
ASN00014703,27.8775
ASN00014704,28.093333333333334
ASN00014825,28.376666666666665
ASN00014901,27.4825
ASN00014932,27.733333333333334
ASN00014949,28.385
ASN00015131,28.115833333333335
ASN00015135,27.504166666666666
ASN00015548,26.645833333333332
ASN00015590,22.333333333333332
ASN00015602,23.423333333333332
ASN00015635,23.51
ASN00015643,23.711666666666666
ASN00015666,26.648333333333333
ASN00016001,20.675
ASN00016065,21.654166666666665
ASN00016090,21.875833333333333
ASN00016096,21.025833333333335
ASN00016098,20.525
ASN00017043,23.033333333333335
ASN00017110,20.934166666666666
ASN00017123,23.225833333333334
ASN00018011,17.954166666666666
ASN00018012,17.946666666666665
ASN00018014,17.6875
ASN00018044,18.259166666666665
ASN00018069,17.80666666666667
ASN00018106,18.140833333333333
ASN00018116,17.535
ASN00018120,18.136666666666667
ASN00018192,16.411666666666665
ASN00018195,18.480833333333333
ASN00018201,19.83416666666667
ASN00020028,17.704166666666666
ASN00021131,15.784166666666666
ASN00021133,16.991666666666667
ASN00022046,16.2525
ASN00022049,16.63
